TypeTrack;TrailTrack;UserRank;Distància;Loop;Desnivell acumulat pujant;Altitud màx;Desnivell acumulat baixant;Altitud mín;Dificultat tècnica:;Data de realització;Valoració;vots;Lake;Fountain;Panoramic;River;CarPark;Bridge;WaterFall;Refuge;Shelter;Url
Senderisme;97;122.793;12,14 quilòmetres;Sí;700 metres;2.366 metres;700 metres;1.818 metres;Moderat;de juny 2016;4.74 de 5;9;Si;No;Si;Si;Si;Si;Si;No;Si;X:\WikilocTest.html
Senderisme;97;122.793;12,14 quilòmetres;Sí;700 metres;2.366 metres;700 metres;1.818 metres;Moderat;de juny 2016;4.74 de 5;9;Si;No;Si;Si;Si;Si;Si;No;Si;X:\WikilocTest.html
Senderisme;97;122.793;12,14 quilòmetres;Sí;700 metres;2.366 metres;700 metres;1.818 metres;Moderat;de juny 2016;4.74 de 5;9;Si;No;Si;Si;Si;Si;Si;No;Si;X:\WikilocTest.html
Senderisme;97;122.793;12,14 quilòmetres;Sí;700 metres;2.366 metres;700 metres;1.818 metres;Moderat;de juny 2016;4.74 de 5;9;Si;No;Si;Si;Si;Si;Si;No;Si;X:\WikilocTest.html
Senderisme;97;122.793;12,14 quilòmetres;Sí;700 metres;2.366 metres;700 metres;1.818 metres;Moderat;de juny 2016;4.74 de 5;9;Si;No;Si;Si;Si;Si;Si;No;Si;X:\WikilocTest.html
Senderisme;97;122.793;12,14 quilòmetres;Sí;700 metres;2.366 metres;700 metres;1.818 metres;Moderat;de juny 2016;4.74 de 5;9;Si;No;Si;Si;Si;Si;Si;No;Si;X:\WikilocTest.html
Senderisme;97;122.793;12,14 quilòmetres;Sí;700 metres;2.366 metres;700 metres;1.818 metres;Moderat;de juny 2016;4.74 de 5;9;Si;No;Si;Si;Si;Si;Si;No;Si;X:\WikilocTest.html
Senderisme;97;122.793;12,14 quilòmetres;Sí;700 metres;2.366 metres;700 metres;1.818 metres;Moderat;de juny 2016;4.74 de 5;9;Si;No;Si;Si;Si;Si;Si;No;Si;X:\WikilocTest.html
Senderisme;97;122.793;12,14 quilòmetres;Sí;700 metres;2.366 metres;700 metres;1.818 metres;Moderat;de juny 2016;4.74 de 5;9;Si;No;Si;Si;Si;Si;Si;No;Si;X:\WikilocTest.html
Senderisme;97;122.793;12,14 quilòmetres;Sí;700 metres;2.366 metres;700 metres;1.818 metres;Moderat;de juny 2016;4.74 de 5;9;Si;No;Si;Si;Si;Si;Si;No;Si;X:\WikilocTest.html
