TypeTrack;TrailTrack;UserRank;Distancia;Loop;Desnivel acumulado subiendo;Altitud max;Desnivel acumulado bajando;Altitud min;Dificultad técnica:;Fecha de realización;Valoración;votos;Lake;Fountain;Panoramic;River;CarPark;Bridge;WaterFall;Refuge;Shelter;Url
Senderismo;100;15.371;8,81 kilómetros;Sí;293 metros;506 metros;293 metros;278 metros;Moderado;mar-18;4.91 de 5;39;Si;Si;Si;Si;No;No;No;No;No;X:\WikilocTest.html
Senderismo;100;15.371;8,81 kilómetros;Sí;293 metros;506 metros;293 metros;278 metros;Moderado;mar-18;4.91 de 5;39;Si;Si;Si;Si;No;No;No;No;No;X:\WikilocTest.html
Senderismo;100;15.371;8,81 kilómetros;Sí;293 metros;506 metros;293 metros;278 metros;Moderado;mar-18;4.91 de 5;39;Si;Si;Si;Si;No;No;No;No;No;X:\WikilocTest.html
Senderismo;100;15.371;8,81 kilómetros;Sí;293 metros;506 metros;293 metros;278 metros;Moderado;mar-18;4.91 de 5;39;Si;Si;Si;Si;No;No;No;No;No;X:\WikilocTest.html
Senderismo;100;15.371;8,81 kilómetros;Sí;293 metros;506 metros;293 metros;278 metros;Moderado;mar-18;4.91 de 5;39;Si;Si;Si;Si;No;No;No;No;No;X:\WikilocTest.html
Senderismo;100;15.371;8,81 kilómetros;Sí;293 metros;506 metros;293 metros;278 metros;Moderado;mar-18;4.91 de 5;39;Si;Si;Si;Si;No;No;No;No;No;X:\WikilocTest.html
Senderismo;100;15.371;8,81 kilómetros;Sí;293 metros;506 metros;293 metros;278 metros;Moderado;mar-18;4.91 de 5;39;Si;Si;Si;Si;No;No;No;No;No;X:\WikilocTest.html
Senderismo;100;15.371;8,81 kilómetros;Sí;293 metros;506 metros;293 metros;278 metros;Moderado;mar-18;4.91 de 5;39;Si;Si;Si;Si;No;No;No;No;No;X:\WikilocTest.html
Senderismo;100;15.371;8,81 kilómetros;Sí;293 metros;506 metros;293 metros;278 metros;Moderado;mar-18;4.91 de 5;39;Si;Si;Si;Si;No;No;No;No;No;X:\WikilocTest.html
Senderismo;100;15.371;8,81 kilómetros;Sí;293 metros;506 metros;293 metros;278 metros;Moderado;mar-18;4.91 de 5;39;Si;Si;Si;Si;No;No;No;No;No;X:\WikilocTest.html
